timestamp,date,open,high,low,close,volume
1766718900000,2025-12-26T03:15:00.000Z,89044.06,89044.06,88806.41,88847.03,108.62387
1766719200000,2025-12-26T03:20:00.000Z,88847.03,88933.12,88735.64,88890.96,77.25126
1766719500000,2025-12-26T03:25:00.000Z,88890.97,88890.97,88805.92,88839.88,37.16355
1766719800000,2025-12-26T03:30:00.000Z,88839.89,88877.74,88739.83,88791.24,62.79418
1766720100000,2025-12-26T03:35:00.000Z,88791.23,88838.96,88726.53,88730.95,36.35329
1766720400000,2025-12-26T03:40:00.000Z,88730.95,88758.5,88714.36,88742.52,27.91847
1766720700000,2025-12-26T03:45:00.000Z,88742.53,88888,88742.52,88845.2,109.32178
1766721000000,2025-12-26T03:50:00.000Z,88845.19,88871.06,88757.82,88765.9,182.27251
1766721300000,2025-12-26T03:55:00.000Z,88765.9,88849.67,88753.16,88844.87,161.55566
1766721600000,2025-12-26T04:00:00.000Z,88844.88,88844.88,88531.31,88551.35,101.02761
1766721900000,2025-12-26T04:05:00.000Z,88551.35,88657.25,88516.73,88652.81,43.94966
1766722200000,2025-12-26T04:10:00.000Z,88652.82,88722,88652.82,88720,39.14977
1766722500000,2025-12-26T04:15:00.000Z,88720.01,88782.06,88711.36,88771.64,23.10169
1766722800000,2025-12-26T04:20:00.000Z,88771.65,88771.65,88652,88660.21,28.21987
1766723100000,2025-12-26T04:25:00.000Z,88660.21,88720,88660.21,88713.66,12.79411
1766723400000,2025-12-26T04:30:00.000Z,88713.65,88830.12,88713.65,88823.9,32.01291
1766723700000,2025-12-26T04:35:00.000Z,88823.9,88869.92,88820.43,88869.91,27.73405
1766724000000,2025-12-26T04:40:00.000Z,88869.91,89081.77,88869.91,89040.78,123.21838
1766724300000,2025-12-26T04:45:00.000Z,89040.78,89153.17,89022,89057.84,90.69147
1766724600000,2025-12-26T04:50:00.000Z,89057.84,89058.39,89011.39,89058.39,14.97084
1766724900000,2025-12-26T04:55:00.000Z,89058.39,89058.39,88963.03,88969.24,24.36404
1766725200000,2025-12-26T05:00:00.000Z,88969.24,89014,88914.21,88999.99,25.64843
1766725500000,2025-12-26T05:05:00.000Z,89000,89009.09,88938,88954.53,12.2679
1766725800000,2025-12-26T05:10:00.000Z,88954.54,88986.06,88914.21,88943.07,29.4537
1766726100000,2025-12-26T05:15:00.000Z,88943.07,88943.08,88846.83,88846.84,26.21731
1766726400000,2025-12-26T05:20:00.000Z,88846.83,88930,88846.83,88897.54,31.34284
1766726700000,2025-12-26T05:25:00.000Z,88897.55,88916.03,88895.15,88915.78,17.23096
1766727000000,2025-12-26T05:30:00.000Z,88915.78,88915.79,88842.23,88865.5,16.04409
1766727300000,2025-12-26T05:35:00.000Z,88865.51,88887.76,88831.02,88846,29.03023
1766727600000,2025-12-26T05:40:00.000Z,88845.99,88868.52,88828.06,88868.51,9.1531
1766727900000,2025-12-26T05:45:00.000Z,88868.52,88950,88866.28,88937.4,26.54523
1766728200000,2025-12-26T05:50:00.000Z,88937.41,88937.41,88857.01,88916.39,31.83196
1766728500000,2025-12-26T05:55:00.000Z,88916.39,89045.71,88916.38,88996.58,26.46193
1766728800000,2025-12-26T06:00:00.000Z,88996.58,89081.35,88996.58,89054.46,42.55117
1766729100000,2025-12-26T06:05:00.000Z,89054.46,89067.26,89044.31,89053.22,28.22522
1766729400000,2025-12-26T06:10:00.000Z,89053.23,89161.54,89041.09,89091.08,39.43268
1766729700000,2025-12-26T06:15:00.000Z,89091.09,89152,89081.8,89116.39,35.48052
1766730000000,2025-12-26T06:20:00.000Z,89116.39,89116.39,89021.85,89092.95,55.1589
1766730300000,2025-12-26T06:25:00.000Z,89092.96,89094.29,89081.22,89081.26,13.85332
1766730600000,2025-12-26T06:30:00.000Z,89081.26,89098.14,89049.56,89087.34,52.87919
1766730900000,2025-12-26T06:35:00.000Z,89087.33,89147.04,89066,89135.42,59.44972
1766731200000,2025-12-26T06:40:00.000Z,89135.42,89250,89129.23,89249.99,52.27878
1766731500000,2025-12-26T06:45:00.000Z,89249.99,89250,89110.95,89149.74,37.43962
1766731800000,2025-12-26T06:50:00.000Z,89149.75,89165.32,89118.01,89144.33,28.07557
1766732100000,2025-12-26T06:55:00.000Z,89144.33,89227.97,89124.23,89124.24,67.95028
1766732400000,2025-12-26T07:00:00.000Z,89124.24,89186.74,89124.23,89157.5,20.56117
1766732700000,2025-12-26T07:05:00.000Z,89157.51,89198.18,89157.5,89193,22.27396
1766733000000,2025-12-26T07:10:00.000Z,89193,89380,89182.66,89361.78,65.65226
1766733300000,2025-12-26T07:15:00.000Z,89361.77,89400,89277.72,89380.29,95.94743
1766733600000,2025-12-26T07:20:00.000Z,89380.29,89520,89318,89474.8,193.25243
1766733900000,2025-12-26T07:25:00.000Z,89474.79,89567.75,89417.34,89422.18,64.89821
1766734200000,2025-12-26T07:30:00.000Z,89422.18,89422.18,89167.27,89171.21,133.91056
1766734500000,2025-12-26T07:35:00.000Z,89171.22,89218.01,88829.88,88878.46,310.65956
1766734800000,2025-12-26T07:40:00.000Z,88878.46,88985.29,88763.74,88772.78,227.31674
1766735100000,2025-12-26T07:45:00.000Z,88772.78,88808.96,88617.43,88623.6,228.3581
1766735400000,2025-12-26T07:50:00.000Z,88623.61,88626.9,88541.71,88556.9,234.66956
1766735700000,2025-12-26T07:55:00.000Z,88556.91,88568.4,88347.45,88470.75,201.73905
1766736000000,2025-12-26T08:00:00.000Z,88470.75,88886,88414.81,88690.53,116.98928
1766736300000,2025-12-26T08:05:00.000Z,88690.53,88757.12,88585.71,88606.09,80.17133
1766736600000,2025-12-26T08:10:00.000Z,88606.09,88664.54,88502.52,88662.35,32.79419
1766736900000,2025-12-26T08:15:00.000Z,88662.35,88719.6,88626,88640.11,40.64308
1766737200000,2025-12-26T08:20:00.000Z,88640.12,88782,88618.61,88755.12,43.4272
1766737500000,2025-12-26T08:25:00.000Z,88755.12,88781.76,88692.74,88725.5,21.91704
1766737800000,2025-12-26T08:30:00.000Z,88725.5,88725.51,88588.29,88682.05,24.5426
1766738100000,2025-12-26T08:35:00.000Z,88682.04,88682.05,88614.16,88619.11,15.2548
1766738400000,2025-12-26T08:40:00.000Z,88619.11,88636,88564.78,88634.75,20.8163
1766738700000,2025-12-26T08:45:00.000Z,88634.76,88706.59,88597.23,88692.74,14.26617
1766739000000,2025-12-26T08:50:00.000Z,88692.75,88742,88692.74,88741.99,21.12072
1766739300000,2025-12-26T08:55:00.000Z,88742,88748.11,88718.46,88742.28,17.91761
1766739600000,2025-12-26T09:00:00.000Z,88742.28,88786,88731.74,88735.79,17.38079
1766739900000,2025-12-26T09:05:00.000Z,88735.78,88751.26,88649.63,88696.42,21.38322
1766740200000,2025-12-26T09:10:00.000Z,88696.43,88696.43,88667.14,88682.49,20.74422
1766740500000,2025-12-26T09:15:00.000Z,88682.49,88710.11,88682.49,88690.52,15.30571
1766740800000,2025-12-26T09:20:00.000Z,88690.52,88863.02,88688.65,88759.06,72.11621
1766741100000,2025-12-26T09:25:00.000Z,88759.07,88759.07,88698,88744.02,56.23815
1766741400000,2025-12-26T09:30:00.000Z,88744.02,88769.54,88722.43,88769.53,10.97393
1766741700000,2025-12-26T09:35:00.000Z,88769.53,88772.15,88750.68,88750.68,15.72317
1766742000000,2025-12-26T09:40:00.000Z,88750.69,88769.2,88750.68,88769.19,18.98719
1766742300000,2025-12-26T09:45:00.000Z,88769.19,88888,88769.19,88879.45,38.49431
1766742600000,2025-12-26T09:50:00.000Z,88879.45,88918.59,88846.9,88846.91,54.83221
1766742900000,2025-12-26T09:55:00.000Z,88846.9,88847.59,88786.62,88811.76,21.16951
1766743200000,2025-12-26T10:00:00.000Z,88811.77,88844.22,88804.62,88811.13,22.20062
1766743500000,2025-12-26T10:05:00.000Z,88811.14,88843.21,88755.29,88792.67,24.57694
1766743800000,2025-12-26T10:10:00.000Z,88792.67,88882.01,88785.34,88872.57,16.81498
1766744100000,2025-12-26T10:15:00.000Z,88872.57,88872.58,88716.75,88750.69,24.13216
1766744400000,2025-12-26T10:20:00.000Z,88750.68,88750.69,88690.52,88707.03,17.95707
1766744700000,2025-12-26T10:25:00.000Z,88707.02,88850,88707.02,88820.93,23.51647
1766745000000,2025-12-26T10:30:00.000Z,88820.93,88820.93,88692.74,88696.72,17.48965
1766745300000,2025-12-26T10:35:00.000Z,88696.72,88708.04,88684.71,88699.99,15.46952
1766745600000,2025-12-26T10:40:00.000Z,88699.99,88787.98,88680,88748.24,18.55907
1766745900000,2025-12-26T10:45:00.000Z,88748.23,88860,88748.23,88835.64,25.39413
1766746200000,2025-12-26T10:50:00.000Z,88835.65,88835.65,88780,88806.4,21.8897
1766746500000,2025-12-26T10:55:00.000Z,88806.39,88806.4,88738.73,88748.34,17.05742
1766746800000,2025-12-26T11:00:00.000Z,88748.35,88748.35,88699.54,88699.54,20.88101
1766747100000,2025-12-26T11:05:00.000Z,88699.55,88754.69,88692.74,88711.44,15.54331
1766747400000,2025-12-26T11:10:00.000Z,88711.43,88711.43,88661,88674.62,20.94381
1766747700000,2025-12-26T11:15:00.000Z,88674.61,88683.48,88650.28,88683.47,16.7814
1766748000000,2025-12-26T11:20:00.000Z,88683.48,88685.99,88610.74,88640,14.52888
1766748300000,2025-12-26T11:25:00.000Z,88640,88640.01,88603.54,88603.55,10.81735
1766748600000,2025-12-26T11:30:00.000Z,88603.54,88660,88592.73,88603.07,12.80047
1766748900000,2025-12-26T11:35:00.000Z,88603.07,88626,88551.67,88607.39,19.31407
1766749200000,2025-12-26T11:40:00.000Z,88607.39,88615.71,88561.24,88596.89,14.07295
1766749500000,2025-12-26T11:45:00.000Z,88596.9,88596.9,88532,88552.62,12.15822
1766749800000,2025-12-26T11:50:00.000Z,88552.63,88611.73,88552.62,88575.02,15.96447
1766750100000,2025-12-26T11:55:00.000Z,88575.02,88591.31,88533.42,88533.42,18.25288
1766750400000,2025-12-26T12:00:00.000Z,88533.43,88648.01,88533.42,88648.01,29.12932
1766750700000,2025-12-26T12:05:00.000Z,88648.01,88673.61,88612.31,88612.32,17.50214
1766751000000,2025-12-26T12:10:00.000Z,88612.32,88726.59,88612.31,88690.52,27.27873
1766751300000,2025-12-26T12:15:00.000Z,88690.52,88693.12,88638.72,88638.72,11.10774
1766751600000,2025-12-26T12:20:00.000Z,88638.72,88678.42,88622.81,88673.46,8.04063
1766751900000,2025-12-26T12:25:00.000Z,88673.47,88702.3,88664.26,88702.3,9.03541
1766752200000,2025-12-26T12:30:00.000Z,88702.29,88702.3,88663.99,88689.23,21.35065
1766752500000,2025-12-26T12:35:00.000Z,88689.23,88720,88644.5,88715.5,63.90245
1766752800000,2025-12-26T12:40:00.000Z,88715.49,88761.45,88715.49,88737.2,74.5974
1766753100000,2025-12-26T12:45:00.000Z,88737.2,88756.18,88692.74,88722.28,51.76407
1766753400000,2025-12-26T12:50:00.000Z,88722.28,88722.29,88690.51,88699.97,15.10051
1766753700000,2025-12-26T12:55:00.000Z,88699.98,88699.98,88664.13,88678.9,9.55284
1766754000000,2025-12-26T13:00:00.000Z,88678.89,88715.21,88618.14,88702.07,16.36747
1766754300000,2025-12-26T13:05:00.000Z,88702.06,88758,88692.74,88757.99,18.4234
1766754600000,2025-12-26T13:10:00.000Z,88758,88833.7,88757.99,88833.7,27.26886
1766754900000,2025-12-26T13:15:00.000Z,88833.7,88839,88807.67,88836.01,24.93512
1766755200000,2025-12-26T13:20:00.000Z,88836,88836.01,88756.2,88803.34,23.72675
1766755500000,2025-12-26T13:25:00.000Z,88803.34,88803.34,88760,88770.66,9.21658
1766755800000,2025-12-26T13:30:00.000Z,88770.66,88839.34,88763.44,88839.34,16.80357
1766756100000,2025-12-26T13:35:00.000Z,88839.33,88960,88828.86,88953.79,57.00195
1766756400000,2025-12-26T13:40:00.000Z,88953.78,89031.23,88915.36,88918.1,78.52929
1766756700000,2025-12-26T13:45:00.000Z,88918.11,89050,88905.33,89023.65,30.65946
1766757000000,2025-12-26T13:50:00.000Z,89023.65,89044.7,88962.51,89002.99,35.76845
1766757300000,2025-12-26T13:55:00.000Z,89002.99,89040.09,88991.31,88992.88,22.11697
1766757600000,2025-12-26T14:00:00.000Z,88992.88,89030.62,88905,89030.61,40.17986
1766757900000,2025-12-26T14:05:00.000Z,89030.61,89049.88,88919.94,88926.16,30.07633
1766758200000,2025-12-26T14:10:00.000Z,88926.17,88973.63,88926.16,88951.59,21.08841
1766758500000,2025-12-26T14:15:00.000Z,88951.6,88993.29,88924.89,88977.29,27.68585
1766758800000,2025-12-26T14:20:00.000Z,88977.28,89011.91,88967.11,89011.89,32.38668
1766759100000,2025-12-26T14:25:00.000Z,89011.89,89011.89,88954.52,88967.93,42.79777
1766759400000,2025-12-26T14:30:00.000Z,88967.93,89049.86,88801.72,88822.02,133.37269
1766759700000,2025-12-26T14:35:00.000Z,88822.01,88911.23,88555,88564,111.9956
1766760000000,2025-12-26T14:40:00.000Z,88563.99,88645.49,88274.9,88405.94,159.81779
1766760300000,2025-12-26T14:45:00.000Z,88405.93,88440,87926.16,88006.61,352.27788
1766760600000,2025-12-26T14:50:00.000Z,88007.43,88023.34,87592.12,87592.13,420.45715
1766760900000,2025-12-26T14:55:00.000Z,87592.12,87592.13,87345.88,87380.43,356.62788
1766761200000,2025-12-26T15:00:00.000Z,87380.44,87381,86932.44,87246,533.65485
1766761500000,2025-12-26T15:05:00.000Z,87246,87261.84,86952.61,87075.43,275.39498
1766761800000,2025-12-26T15:10:00.000Z,87075.43,87075.43,86771.13,86776.13,360.72825
1766762100000,2025-12-26T15:15:00.000Z,86776.12,87028.01,86655.08,86908.69,403.06698
1766762400000,2025-12-26T15:20:00.000Z,86908.7,87119.07,86731.58,87016,335.67249
1766762700000,2025-12-26T15:25:00.000Z,87015.99,87021.33,86821.91,87007.97,276.85407
1766763000000,2025-12-26T15:30:00.000Z,87007.97,87165.8,86915.81,87141.47,314.64584
1766763300000,2025-12-26T15:35:00.000Z,87141.47,87157.08,86986.78,87014.01,355.18248
1766763600000,2025-12-26T15:40:00.000Z,87014.01,87039.93,86892.61,87039.15,318.19665
1766763900000,2025-12-26T15:45:00.000Z,87039.16,87211.57,86967.6,87160.69,160.21807
1766764200000,2025-12-26T15:50:00.000Z,87160.69,87187.92,87001,87026.88,88.72782
1766764500000,2025-12-26T15:55:00.000Z,87026.88,87148.74,87008,87137.81,82.08821
1766764800000,2025-12-26T16:00:00.000Z,87137.81,87259.31,87130.46,87229.05,105.6087
1766765100000,2025-12-26T16:05:00.000Z,87229.06,87229.06,87092.62,87176.52,69.66282
1766765400000,2025-12-26T16:10:00.000Z,87176.53,87176.53,87012.65,87012.66,61.44515
1766765700000,2025-12-26T16:15:00.000Z,87012.66,87192.64,87012.66,87192.64,41.70832
1766766000000,2025-12-26T16:20:00.000Z,87192.63,87321.4,87192.63,87241.56,68.4884
1766766300000,2025-12-26T16:25:00.000Z,87241.55,87259.31,87129.96,87259.31,41.98031
1766766600000,2025-12-26T16:30:00.000Z,87259.31,87321.41,87164.41,87210,41.79239
1766766900000,2025-12-26T16:35:00.000Z,87210,87379.18,87209.99,87305.69,42.39185
1766767200000,2025-12-26T16:40:00.000Z,87305.68,87380,87273.45,87283.85,41.31341
1766767500000,2025-12-26T16:45:00.000Z,87283.85,87300.85,87192.63,87272.98,22.73918
