timestamp,date,open,high,low,close,volume
1766721600000,2025-12-26T04:00:00.000Z,88844.88,89567.75,88347.45,88470.75,3154.47608
1766736000000,2025-12-26T08:00:00.000Z,88470.75,88918.59,88414.81,88533.42,1250.32549
1766750400000,2025-12-26T12:00:00.000Z,88533.43,89050,86655.08,87137.81,5932.37434
1766764800000,2025-12-26T16:00:00.000Z,87137.81,87580.29,86818.18,87501.83,1940.76351
1766779200000,2025-12-26T20:00:00.000Z,87501.83,87792.7,87321.4,87369.56,1102.04985
1766793600000,2025-12-27T00:00:00.000Z,87369.56,87532,87253.05,87514.22,675.35016
1766808000000,2025-12-27T04:00:00.000Z,87514.23,87702,87417.93,87539.26,515.35353
1766822400000,2025-12-27T08:00:00.000Z,87539.26,87677,87370.73,87475.98,1077.75463
1766836800000,2025-12-27T12:00:00.000Z,87475.99,87589.99,87308.05,87551.25,749.39054
1766851200000,2025-12-27T16:00:00.000Z,87551.26,87591,87442.08,87569.39,566.59122
1766865600000,2025-12-27T20:00:00.000Z,87569.39,87984,87499.99,87877.01,885.11148
1766880000000,2025-12-28T00:00:00.000Z,87877,87961.37,87705.97,87740.01,672.08653
1766894400000,2025-12-28T04:00:00.000Z,87740,87837.99,87614.79,87730.85,442.23022
1766908800000,2025-12-28T08:00:00.000Z,87730.86,88010,87720,87883.25,760.04376
1766923200000,2025-12-28T12:00:00.000Z,87883.25,88088.75,87794.86,87836.27,821.25662
1766937600000,2025-12-28T16:00:00.000Z,87836.27,87931.59,87500.26,87520.75,881.83702
1766952000000,2025-12-28T20:00:00.000Z,87520.75,88049.53,87435,87952.71,868.8387
1766966400000,2025-12-29T00:00:00.000Z,87952.71,90169.06,87813.17,90123.55,4759.05691
1766980800000,2025-12-29T04:00:00.000Z,90123.55,90406.08,89507.03,89617.71,3502.98691
1766995200000,2025-12-29T08:00:00.000Z,89617.71,89825.01,87567.65,87567.66,4608.77018
1767009600000,2025-12-29T12:00:00.000Z,87567.65,88190.71,86806.5,87691.62,4178.35066
1767024000000,2025-12-29T16:00:00.000Z,87691.62,87996.22,87312.34,87366.23,1457.68333
1767038400000,2025-12-29T20:00:00.000Z,87366.23,87597.59,87071.49,87237.13,1388.13776
1767052800000,2025-12-30T00:00:00.000Z,87237.13,87423.65,86845.66,87379,1520.57005
1767067200000,2025-12-30T04:00:00.000Z,87378.99,87600,87157.07,87502.85,1077.59137
1767081600000,2025-12-30T08:00:00.000Z,87502.85,88224.76,87502.84,87903.89,2468.25039
1767096000000,2025-12-30T12:00:00.000Z,87903.89,89159.52,87834.01,89016.35,3882.44573
1767110400000,2025-12-30T16:00:00.000Z,89016.36,89400,87960.2,88226.16,2912.38545
1767124800000,2025-12-30T20:00:00.000Z,88226.15,88573.65,87886.46,88485.49,1244.66702
1767139200000,2025-12-31T00:00:00.000Z,88485.5,88819.8,88172.15,88453.04,1131.98072
